sample_id,editor,target,dpi,replicate,forward_barcode,reverse_barcode
WT_ALSP_3dpi_pool,WT,ALSP,3,pool,F5,R-A
ePPEmax_ALSP_3dpi_pool,ePPEmax,ALSP,3,pool,F1,R-E
PE6c_ALSP_3dpi_pool,PE6c,ALSP,3,pool,F2,R-E
WT_ALSP_6dpi_pool,WT,ALSP,6,pool,F6,R-A
ePPEmax_ALSP_6dpi_pool,ePPEmax,ALSP,6,pool,F3,R-E
PE6c_ALSP_6dpi_pool,PE6c,ALSP,6,pool,F4,R-A
WT_ALSW_3dpi_pool,WT,ALSW,3,pool,F5,R-B
ePPEmax_ALSW_3dpi_pool,ePPEmax,ALSW,3,pool,F1,R-F
PE6c_ALSW_3dpi_pool,PE6c,ALSW,3,pool,F2,R-F
WT_ALSW_6dpi_pool,WT,ALSW,6,pool,F6,R-B
ePPEmax_ALSW_6dpi_pool,ePPEmax,ALSW,6,pool,F3,R-F
PE6c_ALSW_6dpi_pool,PE6c,ALSW,6,pool,F4,R-B
WT_EPSPS_3dpi_pool,WT,EPSPS,3,pool,F5,R-C
ePPEmax_EPSPS_3dpi_pool,ePPEmax,EPSPS,3,pool,F1,R-G
PE6c_EPSPS_3dpi_pool,PE6c,EPSPS,3,pool,F2,R-G
WT_EPSPS_6dpi_pool,WT,EPSPS,6,pool,F6,R-C
ePPEmax_EPSPS_6dpi_pool,ePPEmax,EPSPS,6,pool,F3,R-G
PE6c_EPSPS_6dpi_pool,PE6c,EPSPS,6,pool,F4,R-C
