target	sample	total_read_pairs	wt_motif_hits	desired_motif_hits	both_hits	neither_hits	informative_reads	desired_percent_among_motif_hits
ALSP_core	WT_ALSP_3dpi_pool	9345	444	0	0	8901	444	0.0000
ALSP_core	ePPEmax_ALSP_3dpi_pool	9956	456	1	0	9499	457	0.2188
ALSP_core	PE6c_ALSP_3dpi_pool	13839	503	0	0	13336	503	0.0000
ALSP_core	WT_ALSP_6dpi_pool	10883	533	0	0	10350	533	0.0000
ALSP_core	ePPEmax_ALSP_6dpi_pool	9364	425	4	0	8935	429	0.9324
ALSP_core	PE6c_ALSP_6dpi_pool	9824	422	0	0	9402	422	0.0000
ALSP_chr01	WT_ALSP_3dpi_pool	9345	240	0	0	9105	240	0.0000
ALSP_chr01	ePPEmax_ALSP_3dpi_pool	9956	237	1	0	9718	238	0.4202
ALSP_chr01	PE6c_ALSP_3dpi_pool	13839	244	0	0	13595	244	0.0000
ALSP_chr01	WT_ALSP_6dpi_pool	10883	282	0	0	10601	282	0.0000
ALSP_chr01	ePPEmax_ALSP_6dpi_pool	9364	228	2	0	9134	230	0.8696
ALSP_chr01	PE6c_ALSP_6dpi_pool	9824	224	0	0	9600	224	0.0000
ALSP_chr11	WT_ALSP_3dpi_pool	9345	202	0	0	9143	202	0.0000
ALSP_chr11	ePPEmax_ALSP_3dpi_pool	9956	213	0	0	9743	213	0.0000
ALSP_chr11	PE6c_ALSP_3dpi_pool	13839	255	0	0	13584	255	0.0000
ALSP_chr11	WT_ALSP_6dpi_pool	10883	250	0	0	10633	250	0.0000
ALSP_chr11	ePPEmax_ALSP_6dpi_pool	9364	193	1	0	9170	194	0.5155
ALSP_chr11	PE6c_ALSP_6dpi_pool	9824	193	0	0	9631	193	0.0000
ALSW	WT_ALSW_3dpi_pool	6576	1583	9	0	4984	1592	0.5653
ALSW	ePPEmax_ALSW_3dpi_pool	9509	765	124	0	8620	889	13.9483
ALSW	PE6c_ALSW_3dpi_pool	6744	1460	50	0	5234	1510	3.3113
ALSW	WT_ALSW_6dpi_pool	8624	1342	5	0	7277	1347	0.3712
ALSW	ePPEmax_ALSW_6dpi_pool	10309	559	173	1	9578	732	23.6339
ALSW	PE6c_ALSW_6dpi_pool	7017	1617	59	1	5342	1676	3.5203
EPSPS_full	WT_EPSPS_3dpi_pool	5361	753	0	0	4608	753	0.0000
EPSPS_full	ePPEmax_EPSPS_3dpi_pool	6518	500	0	0	6018	500	0.0000
EPSPS_full	PE6c_EPSPS_3dpi_pool	5930	547	0	0	5383	547	0.0000
EPSPS_full	WT_EPSPS_6dpi_pool	6073	643	0	0	5430	643	0.0000
EPSPS_full	ePPEmax_EPSPS_6dpi_pool	7661	366	0	0	7295	366	0.0000
EPSPS_full	PE6c_EPSPS_6dpi_pool	5025	711	0	0	4314	711	0.0000
EPSPS_partial1_front	WT_EPSPS_3dpi_pool	5361	753	0	0	4608	753	0.0000
EPSPS_partial1_front	ePPEmax_EPSPS_3dpi_pool	6518	500	1	0	6017	501	0.1996
EPSPS_partial1_front	PE6c_EPSPS_3dpi_pool	5930	547	0	0	5383	547	0.0000
EPSPS_partial1_front	WT_EPSPS_6dpi_pool	6073	643	0	0	5430	643	0.0000
EPSPS_partial1_front	ePPEmax_EPSPS_6dpi_pool	7661	366	0	0	7295	366	0.0000
EPSPS_partial1_front	PE6c_EPSPS_6dpi_pool	5025	711	1	0	4313	712	0.1404
EPSPS_partial2_back	WT_EPSPS_3dpi_pool	5361	753	0	0	4608	753	0.0000
EPSPS_partial2_back	ePPEmax_EPSPS_3dpi_pool	6518	500	0	0	6018	500	0.0000
EPSPS_partial2_back	PE6c_EPSPS_3dpi_pool	5930	547	2	0	5381	549	0.3643
EPSPS_partial2_back	WT_EPSPS_6dpi_pool	6073	643	0	0	5430	643	0.0000
EPSPS_partial2_back	ePPEmax_EPSPS_6dpi_pool	7661	366	4	0	7291	370	1.0811
EPSPS_partial2_back	PE6c_EPSPS_6dpi_pool	5025	711	0	0	4314	711	0.0000
